zip_code,cases,cases_norm,week,cases_change,cases_norm_change
97078,248,1157.2,2020-09-16,8,37.299999999999955
97080,497,1215.5,2020-09-16,17,41.59999999999991
97086,199,765.1,2020-09-16,16,61.5
97089,81,675.8,2020-09-16,3,25.199999999999932
97101,25,658.9,2020-09-16,1,26.299999999999955
97103,47,278.8,2020-09-16,2,11.900000000000034
97106,27,593.4,2020-09-16,5,109.89999999999998
97107,0,0.0,2020-09-16,0,0
97110,5,n/a,2020-09-16,0,0
97111,15,475.3,2020-09-16,0,0
97112,0,0.0,2020-09-16,0,0
97113,261,1843.9,2020-09-16,8,56.30000000000018
97114,46,966.0,2020-09-16,0,0
97115,22,531.5,2020-09-16,0,0
97116,263,1091.1,2020-09-16,3,12.399999999999864
97119,15,339.4,2020-09-16,1,22.69999999999999
97121,5,n/a,2020-09-16,0,0
97123,562,1261.9,2020-09-16,25,56.200000000000045
